case_id,poi_id,name,brand,ref,category,province,subdistrict,housenumber,street,address_text,address_status,primary_sampling_stratum,name_fold_n,brand_n,name_province_n,clean_reason,legacy_pilot110,clean_pass,clean_notes
g150-063,osm:node/3628855206,HQ Thai Food,,,amenity=restaurant,Thành phố Đà Nẵng,Phường Hải Châu,9,Yên Bái,"9, Yên Bái, Phường Hải Châu, Thành phố Đà Nẵng",direct,named_clear,1,0,1,uniqueish_venue_name_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=named_clear;uniqueish_venue_name_no_brand
g150-064,osm:way/1475290264,Điểm Y tế Định Công,,,amenity=clinic|healthcare=clinic,Hà Nội,Phường Định Công,58,Phố Định Công Hạ,"58, Phố Định Công Hạ, Phường Định Công, Hà Nội",direct,named_clear,1,0,1,uniqueish_venue_name_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=named_clear;uniqueish_venue_name_no_brand
g150-065,osm:node/4824550521,thanh dat,,,shop=convenience,Thành phố Hồ Chí Minh,Phường Lái Thiêu,96/2,Đông Nhì,"96/2, Đông Nhì, Phường Lái Thiêu, Thành phố Hồ Chí Minh",direct,address_street_building,12,0,1,direct_housenumber_street_slash,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=address_street_building;direct_housenumber_street_slash
g150-066,osm:node/11840636053,Ngày của Nắng Coffee+,,,amenity=cafe,Tỉnh Lâm Đồng,Phường Cam Ly - Đà Lạt,166/9 hẻm14,Gio An,"166/9 hẻm14, Gio An, Phường Cam Ly - Đà Lạt, Tỉnh Lâm Đồng",direct,address_street_building,1,0,1,direct_housenumber_street_slash,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=address_street_building;direct_housenumber_street_slash
g150-067,osm:node/5355786321,Phòng Trà Phố Nghèo,,,amenity=cafe,Hà Nội,Phường Đống Đa,24/19,Ngõ 19 Trần Quang Diệu,"24/19, Ngõ 19 Trần Quang Diệu, Phường Đống Đa, Hà Nội",direct,address_street_building,1,0,1,direct_housenumber_street_slash,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=address_street_building;direct_housenumber_street_slash
g150-068,osm:node/6512199185,"68/32, Hẻm 68 Kiệt 151 Đường Âu Cơ",,,address=,Thành phố Đà Nẵng,Phường Liên Chiểu,68/32,Hẻm 68 Kiệt 151 Đường Âu Cơ,"68/32, Hẻm 68 Kiệt 151 Đường Âu Cơ, Phường Liên Chiểu, Thành phố Đà Nẵng",direct,address_street_building,1,0,1,direct_housenumber_street_slash,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=address_street_building;direct_housenumber_street_slash
g150-069,osm:way/1117725009,"600/4/17A, Đồng Khởi",,,address=|building=house,Thành phố Đồng Nai,Phường Trảng Dài,600/4/17A,Đồng Khởi,"600/4/17A, Đồng Khởi, Phường Trảng Dài, Thành phố Đồng Nai",direct,address_street_building,1,0,1,direct_housenumber_street_slash,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=address_street_building;direct_housenumber_street_slash
g150-070,osm:node/12989339615,"27/1, Đường Nguyễn Thị Búp",,,address=,Thành phố Hồ Chí Minh,Phường Trung Mỹ Tây,27/1,Đường Nguyễn Thị Búp,"27/1, Đường Nguyễn Thị Búp, Phường Trung Mỹ Tây, Thành phố Hồ Chí Minh",direct,address_street_building,1,0,1,direct_housenumber_street_slash,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=address_street_building;direct_housenumber_street_slash
g150-071,osm:node/2802711508,"17/15, Nguyễn Thị Minh Khai",,,amenity=cafe,Khánh Hòa,Phường Nha Trang,17/15,Nguyễn Thị Minh Khai,"17/15, Nguyễn Thị Minh Khai, Phường Nha Trang, Khánh Hòa",direct,address_street_building,1,0,1,direct_housenumber_street_slash,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=address_street_building;direct_housenumber_street_slash
g150-072,osm:node/11917198861,"143/34/48, Nguyễn Chính",,,address=,Hà Nội,Phường Hoàng Mai,143/34/48,Nguyễn Chính,"143/34/48, Nguyễn Chính, Phường Hoàng Mai, Hà Nội",direct,address_street_building,1,0,1,direct_housenumber_street_slash,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=address_street_building;direct_housenumber_street_slash
g150-073,osm:node/6512160231,"91/8, Kiệt 91 Ngô Xuân Thu",,,address=,Thành phố Đà Nẵng,Phường Hải Vân,91/8,Kiệt 91 Ngô Xuân Thu,"91/8, Kiệt 91 Ngô Xuân Thu, Phường Hải Vân, Thành phố Đà Nẵng",direct,address_street_building,1,0,1,direct_housenumber_street_slash,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=address_street_building;direct_housenumber_street_slash
g150-074,osm:node/11530158639,"30/49, Nguyễn Văn Linh",,,address=,Thành phố Cần Thơ,Phường Tân An,30/49,Nguyễn Văn Linh,"30/49, Nguyễn Văn Linh, Phường Tân An, Thành phố Cần Thơ",direct,address_street_building,1,0,1,direct_housenumber_street_slash,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=address_street_building;direct_housenumber_street_slash
g150-075,osm:node/6746689444,"337, Đường Lạc Long Quân",,,address=,Thành phố Hồ Chí Minh,Phường Hòa Bình,337,Đường Lạc Long Quân,"337, Đường Lạc Long Quân, Phường Hòa Bình, Thành phố Hồ Chí Minh",direct,address_street_building,1,0,1,direct_housenumber_street,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=address_street_building;direct_housenumber_street
g150-076,osm:node/6610135392,"17, Ngách 464/35 Âu Cơ",,,address=,Hà Nội,Phường Hồng Hà,17,Ngách 464/35 Âu Cơ,"17, Ngách 464/35 Âu Cơ, Phường Hồng Hà, Hà Nội",direct,address_street_building,1,0,1,direct_housenumber_street,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=address_street_building;direct_housenumber_street
g150-077,osm:node/9020250973,"180, Phan Đình Phùng - QL.9E",,,address=,Tỉnh Quảng Trị,Phường Đồng Thuận,180,Phan Đình Phùng - QL.9E,"180, Phan Đình Phùng - QL.9E, Phường Đồng Thuận, Tỉnh Quảng Trị",direct,address_street_building,1,0,1,direct_housenumber_street,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=address_street_building;direct_housenumber_street
g150-078,osm:way/1503506378,"54, Đường Thành Cổ",,,address=|building=yes,Thành phố Bắc Ninh,Phường Kinh Bắc,54,Đường Thành Cổ,"54, Đường Thành Cổ, Phường Kinh Bắc, Thành phố Bắc Ninh",direct,address_street_building,1,0,1,direct_housenumber_street,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=address_street_building;direct_housenumber_street
g150-079,osm:node/6537835774,"10, Hẻm 55 Kiệt 123 Cù Chính Lan",,,address=,Thành phố Đà Nẵng,Phường Thanh Khê,10,Hẻm 55 Kiệt 123 Cù Chính Lan,"10, Hẻm 55 Kiệt 123 Cù Chính Lan, Phường Thanh Khê, Thành phố Đà Nẵng",direct,address_street_building,1,0,1,direct_housenumber_street,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=address_street_building;direct_housenumber_street
g150-080,osm:node/13415291916,"55, Hoàng Sa",,,address=,Thành phố Hồ Chí Minh,Phường Sài Gòn,55,Hoàng Sa,"55, Hoàng Sa, Phường Sài Gòn, Thành phố Hồ Chí Minh",direct,address_street_building,1,0,1,direct_housenumber_street,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=address_street_building;direct_housenumber_street
g150-081,osm:node/6603931170,"165, Phố Trích Sài",,,address=,Hà Nội,Phường Tây Hồ,165,Phố Trích Sài,"165, Phố Trích Sài, Phường Tây Hồ, Hà Nội",direct,address_street_building,1,0,1,direct_housenumber_street,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=address_street_building;direct_housenumber_street
g150-082,osm:node/1011330677,"60, Lê Thành Đồng",,,address=,Tỉnh Quảng Trị,Phường Đồng Hới,60,Lê Thành Đồng,"60, Lê Thành Đồng, Phường Đồng Hới, Tỉnh Quảng Trị",direct,address_street_building,1,0,1,direct_housenumber_street,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=address_street_building;direct_housenumber_street
g150-083,osm:node/13017392783,"296, Đường Như Nguyệt",,,address=,Thành phố Bắc Ninh,Phường Vũ Ninh,296,Đường Như Nguyệt,"296, Đường Như Nguyệt, Phường Vũ Ninh, Thành phố Bắc Ninh",direct,address_street_building,1,0,1,direct_housenumber_street,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=address_street_building;direct_housenumber_street
g150-084,osm:node/6538254337,"92, Kiệt 503 Trưng Nữ Vương",,,address=,Thành phố Đà Nẵng,Phường Hòa Cường,92,Kiệt 503 Trưng Nữ Vương,"92, Kiệt 503 Trưng Nữ Vương, Phường Hòa Cường, Thành phố Đà Nẵng",direct,address_street_building,1,0,1,direct_housenumber_street,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=address_street_building;direct_housenumber_street
g150-085,osm:node/6712548791,"39, Đường Tân Hòa Đông",,,address=,Thành phố Hồ Chí Minh,Phường Phú Lâm,39,Đường Tân Hòa Đông,"39, Đường Tân Hòa Đông, Phường Phú Lâm, Thành phố Hồ Chí Minh",direct,address_street_building,1,0,1,direct_housenumber_street,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=address_street_building;direct_housenumber_street
g150-086,osm:node/12880386071,"244, Phố Mễ Trì Thượng",,,address=,Hà Nội,Phường Từ Liêm,244,Phố Mễ Trì Thượng,"244, Phố Mễ Trì Thượng, Phường Từ Liêm, Hà Nội",direct,address_street_building,1,0,1,direct_housenumber_street,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=address_street_building;direct_housenumber_street
g150-087,osm:way/241995888,Công Ty Cp Cà Phê Trung Nguyên,,,address=|building=yes,Tỉnh Đắk Lắk,Phường Tân Lập,268,Nguyễn Tất Thành,"268, Nguyễn Tất Thành, Phường Tân Lập, Tỉnh Đắk Lắk",direct,address_street_building,1,0,1,direct_housenumber_street,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=address_street_building;direct_housenumber_street
g150-088,osm:way/1219918319,"46, Khu dân cư số 9",,,address=|building=apartments,Thành phố Cần Thơ,Phường Ninh Kiều,46,Khu dân cư số 9,"46, Khu dân cư số 9, Phường Ninh Kiều, Thành phố Cần Thơ",direct,address_street_building,1,0,1,direct_housenumber_street,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=address_street_building;direct_housenumber_street
g150-089,osm:way/1540236905,"79, Đường Đoàn Như Hài",,,address=|building=yes,Thành phố Hồ Chí Minh,Phường Xóm Chiếu,79,Đường Đoàn Như Hài,"79, Đường Đoàn Như Hài, Phường Xóm Chiếu, Thành phố Hồ Chí Minh",direct,address_street_building,1,0,1,direct_housenumber_street,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=address_street_building;direct_housenumber_street
g150-090,osm:way/1301678543,"21, Ngõ 28 Ông Ích Khiêm",,,address=|building=yes,Hà Nội,Phường Ba Đình,21,Ngõ 28 Ông Ích Khiêm,"21, Ngõ 28 Ông Ích Khiêm, Phường Ba Đình, Hà Nội",direct,address_street_building,1,0,1,direct_housenumber_street,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=address_street_building;direct_housenumber_street
g150-091,osm:node/4104326693,Hoa Sen,,,amenity=restaurant,Tỉnh Lâm Đồng,Phường Xuân Hương - Đà Lạt,62,Phan Đình Phùng,"62, Phan Đình Phùng, Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng",direct,address_street_building,4,0,3,direct_housenumber_street,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=address_street_building;direct_housenumber_street
g150-092,osm:node/2447240038,BRGMart,,,shop=supermarket,Thành phố Hải Phòng,Phường Hồng Bàng,23,Phố Minh Khai,"23, Phố Minh Khai, Phường Hồng Bàng, Thành phố Hải Phòng",direct,address_street_building,6,0,2,direct_housenumber_street,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=address_street_building;direct_housenumber_street
g150-093,osm:node/8132877478,Bún Ngan Cô Tuyết,,,amenity=restaurant,Hà Nội,Phường Kim Liên,25,Ngõ 167 Tây Sơn,"25, Ngõ 167 Tây Sơn, Phường Kim Liên, Hà Nội",direct,category_local,1,0,1,common_venue_category_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=category_local;common_venue_category_no_brand
g150-094,osm:way/476467017,1001 Hotel,,,tourism=hotel|building=yes,Tỉnh Lâm Đồng,Phường Mũi Né,45,Nguyễn Đình Chiểu,"45, Nguyễn Đình Chiểu, Phường Mũi Né, Tỉnh Lâm Đồng",direct,category_local,1,0,1,common_venue_category_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=category_local;common_venue_category_no_brand
g150-095,osm:node/14068669902,Banh Mi Pate Cay,,,amenity=restaurant,Thành phố Hải Phòng,Phường Lê Chân,150e,Phố Hàng Kênh,"150e, Phố Hàng Kênh, Phường Lê Chân, Thành phố Hải Phòng",direct,category_local,1,0,1,common_venue_category_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=category_local;common_venue_category_no_brand
g150-096,osm:node/12633343524,Phở Lý Quốc Sư,,,amenity=restaurant,Thành phố Hồ Chí Minh,Phường Phú Thạnh,44,Đường Lương Minh Nguyệt,"44, Đường Lương Minh Nguyệt, Phường Phú Thạnh, Thành phố Hồ Chí Minh",direct,category_local,7,0,3,common_venue_category_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=category_local;common_venue_category_no_brand
g150-097,osm:node/12063757631,May de Cuisine,,,amenity=restaurant,Hà Nội,Phường Hoàn Kiếm,107,Phố Mã Mây,"107, Phố Mã Mây, Phường Hoàn Kiếm, Hà Nội",direct,category_local,1,0,1,common_venue_category_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=category_local;common_venue_category_no_brand
g150-098,osm:node/12662704801,Hoành Thánh Mì Cô Vui,,,amenity=restaurant,Tỉnh Lâm Đồng,Phường Phan Thiết,9,Tuyên Quang,"9, Tuyên Quang, Phường Phan Thiết, Tỉnh Lâm Đồng",direct,category_local,1,0,1,common_venue_category_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=category_local;common_venue_category_no_brand
g150-099,osm:node/11409400637,Lan Anh shop,,,shop=clothes,Thành phố Bắc Ninh,Phường Việt Yên,424,Đường Hoàng Hoa Thám,"424, Đường Hoàng Hoa Thám, Phường Việt Yên, Thành phố Bắc Ninh",direct,category_local,1,0,1,common_venue_category_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=category_local;common_venue_category_no_brand
g150-100,osm:way/1225211264,The Adora Center,,,amenity=restaurant|building=yes,Thành phố Hồ Chí Minh,Phường Tân Sơn Nhất,431,Hoàng Văn Thụ,"431, Hoàng Văn Thụ, Phường Tân Sơn Nhất, Thành phố Hồ Chí Minh",direct,category_local,1,0,1,common_venue_category_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=category_local;common_venue_category_no_brand
g150-101,osm:node/7257100185,Cà Phê Blackbird,,,amenity=cafe,Hà Nội,Phường Hoàn Kiếm,63B,Phố Lãn Ông,"63B, Phố Lãn Ông, Phường Hoàn Kiếm, Hà Nội",direct,category_local,2,0,1,common_venue_category_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=category_local;common_venue_category_no_brand
g150-102,osm:node/7087442485,Sao Mai Mui Ne Hotel,,,tourism=hotel,Tỉnh Lâm Đồng,Phường Mũi Né,18C,Nguyễn Đình Chiểu,"18C, Nguyễn Đình Chiểu, Phường Mũi Né, Tỉnh Lâm Đồng",direct,category_local,1,0,1,common_venue_category_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=category_local;common_venue_category_no_brand
g150-103,osm:node/5211609373,Nhà thuốc Tân Hưng,,,amenity=pharmacy|healthcare=pharmacy,Thành phố Cần Thơ,Phường Ninh Kiều,141,Châu Văn Liêm,"141, Châu Văn Liêm, Phường Ninh Kiều, Thành phố Cần Thơ",direct,category_local,1,0,1,common_venue_category_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=category_local;common_venue_category_no_brand
g150-104,osm:node/4624875391,Nhà Hàng Nhật Phương,,,amenity=restaurant,Thành phố Hồ Chí Minh,Phường Xuân Hòa,45,Lý Chính Thắng,"45, Lý Chính Thắng, Phường Xuân Hòa, Thành phố Hồ Chí Minh",direct,category_local,1,0,1,common_venue_category_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=category_local;common_venue_category_no_brand
g150-105,osm:way/958803250,Trường Trung học phổ thông Trần Hưng Đạo - Hà Đông,,,amenity=school,Hà Nội,Phường Phú Lương,157,Phố Xốm,"157, Phố Xốm, Phường Phú Lương, Hà Nội",direct,category_local,1,0,1,common_venue_category_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=category_local;common_venue_category_no_brand
g150-106,osm:node/12569176901,Typika Coffee & Craft Beer,,,amenity=cafe,Tỉnh Đắk Lắk,Phường Buôn Ma Thuột,18,Đường Nguyễn Nhạc,"18, Đường Nguyễn Nhạc, Phường Buôn Ma Thuột, Tỉnh Đắk Lắk",direct,category_local,1,0,1,common_venue_category_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=category_local;common_venue_category_no_brand
g150-107,osm:node/5262128963,Vinh Sơn,,,amenity=kindergarten,Thành phố Cần Thơ,Phường Ninh Kiều,43/9,Trần Hưng Đạo,"43/9, Trần Hưng Đạo, Phường Ninh Kiều, Thành phố Cần Thơ",direct,category_local,1,0,1,common_venue_category_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=category_local;common_venue_category_no_brand
g150-108,osm:way/1499809194,Trường Tiểu học Minh Đạo,,,amenity=school,Thành phố Hồ Chí Minh,Phường Chợ Lớn,15,Đường Ký Hòa,"15, Đường Ký Hòa, Phường Chợ Lớn, Thành phố Hồ Chí Minh",direct,category_local,2,0,1,common_venue_category_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=category_local;common_venue_category_no_brand
g150-109,osm:node/11212195530,Cơm niêu Singapore KOMBO,,,amenity=restaurant,Hà Nội,Phường Kim Liên,108A1,Phố Phạm Ngọc Thạch,"108A1, Phố Phạm Ngọc Thạch, Phường Kim Liên, Hà Nội",direct,category_local,1,0,1,common_venue_category_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=category_local;common_venue_category_no_brand
g150-110,osm:node/7090257288,Lakeview Homestay,,,tourism=guest_house,Tỉnh Gia Lai,Phường Diên Hồng,42,Đống Đa,"42, Đống Đa, Phường Diên Hồng, Tỉnh Gia Lai",direct,category_local,1,0,1,common_venue_category_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=category_local;common_venue_category_no_brand
g150-111,osm:node/6026702285,"Cheap and very good Vietnamese coffee (10k black, 15k with milk)",,,amenity=cafe,Thành phố Huế,Phường Phú Xuân,22,Trần Huy Liệu,"22, Trần Huy Liệu, Phường Phú Xuân, Thành phố Huế",direct,category_local,1,0,1,common_venue_category_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=category_local;common_venue_category_no_brand
g150-112,osm:way/259746455,Trường Tiểu học Thắng Nhì,,,amenity=school,Thành phố Hồ Chí Minh,Phường Vũng Tàu,1,Thắng Nhì,"1, Thắng Nhì, Phường Vũng Tàu, Thành phố Hồ Chí Minh",direct,category_local,2,0,1,common_venue_category_no_brand,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=category_local;common_venue_category_no_brand
g150-113,osm:node/4686167990,Ngọc anh,,,shop=books,Thành phố Hồ Chí Minh,Phường Hiệp Bình,24a,Hiệp Bình,"24a, Hiệp Bình, Phường Hiệp Bình, Thành phố Hồ Chí Minh",direct,explicit_area_cross_region,11,0,2,name_in_ge2_provinces,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=explicit_area_cross_region;name_in_ge2_provinces
g150-114,osm:way/1325575632,Trường Trung học cơ sở Chu Văn An,,,amenity=school,Thành phố Đà Nẵng,Phường Thanh Khê,70,Đường Lê Đình Lý,"70, Đường Lê Đình Lý, Phường Thanh Khê, Thành phố Đà Nẵng",direct,explicit_area_cross_region,32,0,6,human_replace_after_review,False,True,replaced Nhà riêng -> human_review_fix
g150-115,osm:node/12765645731,Nhà Thuốc FPT Long Châu,,,shop=chemist,Thành phố Bắc Ninh,Phường Kinh Bắc,57,Đường Trần Hưng Đạo,"57, Đường Trần Hưng Đạo, Phường Kinh Bắc, Thành phố Bắc Ninh",direct,explicit_area_cross_region,23,0,3,name_in_ge2_provinces,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=explicit_area_cross_region;name_in_ge2_provinces
g150-116,osm:node/11569613664,Sữa chua Trân châu Hạ Long,,,amenity=fast_food,Hà Nội,Phường Nghĩa Đô,26,Ngõ 1 Phạm Tuấn Tài,"26, Ngõ 1 Phạm Tuấn Tài, Phường Nghĩa Đô, Hà Nội",direct,explicit_area_cross_region,6,0,3,name_in_ge2_provinces,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=explicit_area_cross_region;name_in_ge2_provinces
g150-117,osm:way/1295556801,Trường Mầm non Bé Ngoan,,,amenity=kindergarten,Thành phố Hồ Chí Minh,Phường Tân Định,108,Nguyễn Đình Chiểu,"108, Nguyễn Đình Chiểu, Phường Tân Định, Thành phố Hồ Chí Minh",direct,explicit_area_cross_region,4,0,2,name_in_ge2_provinces,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=explicit_area_cross_region;name_in_ge2_provinces
g150-118,osm:node/1527921385,Trường Tiểu học Lê Lợi,,,amenity=school,Tỉnh Gia Lai,Phường Quy Nhơn,3,Tăng Bạt Hổ,"3, Tăng Bạt Hổ, Phường Quy Nhơn, Tỉnh Gia Lai",direct,explicit_area_cross_region,16,0,2,human_replace_after_review,False,True,replaced minh hoa -> human_review_fix
g150-119,osm:way/984827072,Mega Market,,,shop=supermarket,Thành phố Đồng Nai,Phường Trấn Biên,1086,Đường Nguyễn Ái Quốc,"1086, Đường Nguyễn Ái Quốc, Phường Trấn Biên, Thành phố Đồng Nai",direct,explicit_area_cross_region,4,0,2,name_in_ge2_provinces,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=explicit_area_cross_region;name_in_ge2_provinces
g150-120,osm:node/8361034090,Trường Mầm Non Hướng Dương,,,office=educational_institution,Hà Nội,Phường Đông Ngạc,11,Hoàng Tăng Bí,"11, Hoàng Tăng Bí, Phường Đông Ngạc, Hà Nội",direct,explicit_area_cross_region,10,0,2,name_in_ge2_provinces,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=explicit_area_cross_region;name_in_ge2_provinces
g150-121,osm:way/1042877500,Phúc Long,,,amenity=cafe|building=yes,Thành phố Hồ Chí Minh,Phường Tân Định,46,Trần Quang Khải,"46, Trần Quang Khải, Phường Tân Định, Thành phố Hồ Chí Minh",direct,explicit_area_cross_region,31,0,6,name_in_ge2_provinces,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=explicit_area_cross_region;name_in_ge2_provinces
g150-122,osm:node/4550116714,Trà Sữa Giấy,,,amenity=cafe,Tỉnh Đắk Lắk,Phường Buôn Ma Thuột,128,Phan Chu Trinh,"128, Phan Chu Trinh, Phường Buôn Ma Thuột, Tỉnh Đắk Lắk",direct,explicit_area_cross_region,2,0,2,name_in_ge2_provinces,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=explicit_area_cross_region;name_in_ge2_provinces
g150-123,osm:way/1079234573,Trường Trung học phổ thông Chu Văn An,,,amenity=school,Thành phố Hải Phòng,Phường Lê Thanh Nghị,250,Nguyễn Lương Bằng,"250, Nguyễn Lương Bằng, Phường Lê Thanh Nghị, Thành phố Hải Phòng",direct,explicit_area_cross_region,14,0,2,name_in_ge2_provinces,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=explicit_area_cross_region;name_in_ge2_provinces
g150-124,osm:way/1036206961,Trường Tiểu Học Chu Văn An,,,amenity=school,Thành phố Hồ Chí Minh,Phường Bình Thạnh,2,Đường số 3,"2, Đường số 3, Phường Bình Thạnh, Thành phố Hồ Chí Minh",direct,explicit_area_cross_region,17,0,2,human_replace_after_review,False,True,replaced Quán nước -> human_review_fix
g150-125,osm:node/4513805489,Nhà thuốc Lan Anh,,,amenity=pharmacy|healthcare=pharmacy,Tỉnh Tuyên Quang,Phường Hà Giang 2,19,Nguyễn Thái Học,"19, Nguyễn Thái Học, Phường Hà Giang 2, Tỉnh Tuyên Quang",direct,explicit_area_cross_region,2,0,2,human_replace_after_review,False,True,replaced yến sào khánh hoà -> nha thuoc Lan Anh
g150-126,osm:node/5065478058,minh châu,,,shop=stationery,Tỉnh Lâm Đồng,Phường Mũi Né,8,Nguyễn Minh Châu,"8, Nguyễn Minh Châu, Phường Mũi Né, Tỉnh Lâm Đồng",direct,explicit_area_cross_region,11,0,3,name_in_ge2_provinces,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=explicit_area_cross_region;name_in_ge2_provinces
g150-127,osm:node/13470857329,Ngọc Trầm,,,shop=jewelry,Thành phố Bắc Ninh,Phường Kinh Bắc,1,Đường Trần Hưng Đạo,"1, Đường Trần Hưng Đạo, Phường Kinh Bắc, Thành phố Bắc Ninh",direct,explicit_area_cross_region,4,0,2,name_in_ge2_provinces,False,True,admin_complete;address_status=direct;housenumber+street;non_garbage_name;not_legacy_pilot110;stratum=explicit_area_cross_region;name_in_ge2_provinces
